match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth
2023-wimbledon-1502,Daniil Medvedev,Christopher Eubanks,0.0,1,1,1,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2.969,6.793,1,119.0,W,NCTL,D
2023-wimbledon-1502,Daniil Medvedev,Christopher Eubanks,20.0,1,1,2,0,0,0,0,0,15,2,1,2,0,2,0,0,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,18.003,18.914,5,125.0,C,NCTL,D
2023-wimbledon-1502,Daniil Medvedev,Christopher Eubanks,47.0,1,1,3,0,0,0,0,0,30,2,1,2,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.027,1.278,1,116.0,BW,NCTL,
2023-wimbledon-1502,Daniil Medvedev,Christopher Eubanks,69.0,1,1,4,0,0,0,0,0,40,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.379,42.57,10,125.0,W,CTL,ND
2023-wimbledon-1502,Daniil Medvedev,Christopher Eubanks,111.0,1,1,5,0,0,0,0,15,40,2,2,2,1,4,2,0,0,0,0,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.885,24.251,7,109.0,W,NCTL,D
2023-wimbledon-1502,Daniil Medvedev,Christopher Eubanks,207.0,1,2,6,0,0,0,1,0,0,1,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.556,2.727,1,112.0,W,CTL,
2023-wimbledon-1502,Daniil Medvedev,Christopher Eubanks,227.0,1,2,7,0,0,0,1,15,0,1,1,1,3,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.737,3.539,1,121.0,C,NCTL,
2023-wimbledon-1502,Daniil Medvedev,Christopher Eubanks,246.0,1,2,8,0,0,0,1,30,0,1,1,1,4,4,0,0,0,0,1,0,B,0,0,0,0,1,0,1,0,0,0,0,0,0,0,11.495,9.47,3,125.0,C,NCTL,
2023-wimbledon-1502,Daniil Medvedev,Christopher Eubanks,268.0,1,2,9,0,0,0,1,40,0,1,1,1,5,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.049,2.935,1,122.0,W,NCTL,
2023-wimbledon-1502,Daniil Medvedev,Christopher Eubanks,300.0,1,3,10,0,0,1,1,0,0,2,2,1,6,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25.548,28.269,8,100.0,BC,NCTL,D
